BinBase name,F_SACT_1_001,F_SACT_2_002,F_SACT_3_003,normF_SACT_1_001,normF_SACT_2_002,normF_SACT_3_003
403585,3808,3394,3464,3.881518087410503e-5,3.718737323669233e-5,3.471598321963264e-5
403523,4604,5117,876,4.692885838875514e-5,5.606593660935611e-5,8.779215156004097e-6
402069,1613,2142,1302,1.644140933559123e-5,2.346946183647465e-5,1.3048559512691022e-5
401267,101524,5813,23885,0.0010348404472328358,6.369186818647392e-5,2.3937392009264598e-4
401125,1276,438,553,1.3006347372730572e-5,4.79907763042759e-6,5.542130115605327e-6
401121,1561,1751,1410,1.591137010096585e-5,1.9185353723467373e-5,1.4130928504527144e-5
399830,2785,2188,2679,2.8387678239071037e-5,2.397347455565198e-5,2.6848764158601574e-5
395982,8038,7846,2400,8.193183399843914e-5,8.596703901446317e-5,2.4052644263024924e-5
395904,6443,1567,3959,6.567389978252592e-5,1.7169302846758065e-5,3.9676841098881533e-5
393358,10208,9992,9334,1.0405077898184457e-4,1.0948032804390976e-4,9.354474231294777e-5
391872,2551,1437,2934,2.600250168325681e-5,1.574491907516997e-5,2.940435761154797e-5
391843,931,1061,953,9.489740912235237e-6,1.1625162935807471e-5,9.550904159442813e-6
391842,5933,3986,4820,6.0475438058315424e-5,4.367379779653966e-5,4.830572722824172e-5
390218,41347,40974,32568,4.214525429626105e-4,4.489438512080823e-4,3.2639438264924826e-4
390208,32396,8730,32428,3.302144431716141e-4,9.565284866126223e-5,3.2499131173390513e-4
390198,519,758,860,5.290199284049504e-6,8.305253068182906e-6,8.618864194250599e-6
390194,1356,1720,2927,1.3821792349077316e-5,1.8845692977934828e-5,2.9334204065780815e-5
390185,2463,483,1691,2.5105512209275392e-5,5.292133551361931e-6,1.694709227032298e-5
390140,268039,246324,272815,0.0027321382001875625,0.002698922370405127,0.0027341342269238105
390135,6647,2432,1669,6.775328447221012e-5,2.6646933326940407e-5,1.6726609697911917e-5
390126,23115,21682,25797,2.3561263285318745e-4,2.3756529950440868e-4,2.5853586002218916e-4
390122,95374,113501,110763,9.721531146761799e-4,0.0012436075573770819,0.001110059598543929
390121,18209222,16006290,22934891,0.18560773253853272,0.1753776901487142,0.229851989347605
389994,69177,0,101509,7.051254641092341e-4,0,0.0010173166110397488
389988,12608,12396,5647,1.2851412827224692e-4,1.3582047102004657e-4,5.659386756387573e-5
387768,523,531,476,5.330971532866841e-6,5.8180598670252285e-6,4.77044111216661e-6
386842,97,137,145,9.887270338204275e-7,1.5010813592889949e-6,1.4531805908910893e-6
386187,400,453,362,4.077224881733722e-6,4.9634296040723705e-6,3.627940509672926e-6
385941,31722,32161,34015,3.233443192458928e-4,3.523815882926523e-4,3.4089612275283034e-4
384976,5834,5846,6220,5.946632490008633e-5,6.405344252849244e-5,6.233643638167294e-5
384941,6706,8646,6455,6.835467514226584e-5,9.473247760885146e-5,6.469159113242745e-5
384919,470,426,379,4.790739236037123e-6,4.667596051511766e-6,3.7983134065360197e-6
384908,546,3482,3135,5.56541196356653e-6,3.815157148207504e-5,3.1418766568576306e-5
384907,269,496,365,2.741933732965928e-6,5.434571928520741e-6,3.6580063150017073e-6
384906,33481,33829,33840,3.412739156633168e-4,3.706575277619519e-4,3.3914228410865144e-4
384897,686,849,716,6.992440672173333e-6,9.302321708294575e-6,7.175705538469103e-6
384838,1379,1541,1400,1.4056232779777005e-5,1.6884426092440448e-5,1.4030709153431207e-5
382960,51899,50421,40881,5.290097353427461e-4,5.524527242095651e-4,4.097067292153008e-4
