BinBase name,L1_PAC_440,L2_PAC_440,L3_PAC_440,normL1_PAC_440,normL2_PAC_440,normL3_PAC_440
509844,70027,57676,52344,2.855357606965104e-4,2.3984886743436324e-4,2.1483349784173682e-4
488159,456,533,NA,1.8593443511446834e-6,2.2165102701733064e-6,NA
486463,78,9420,NA,3.1804574427474846e-7,3.917359614452635e-5,NA
476084,1724,2380,NA,7.029626450380338e-6,9.89736293248118e-6,NA
474821,7958,2761,NA,3.244882093510831e-5,1.1481772712848965e-5,NA
474672,68745,131223,210507,2.80308393463687e-4,5.456981748273017e-4,8.639759118556185e-4
474251,6587,18383,NA,2.685855535304831e-5,7.644673226378216e-5,NA
474221,42134,66697,30823,1.7180178704195195e-4,2.773631997931501e-4,1.2650567216826865e-4
474043,35335,37455,12032,1.4407879966600305e-4,1.5575870951095908e-4,4.938248215711022e-5
425777,1412,5470,NA,5.757443473281344e-6,2.274730052129078e-5,NA
425770,12911,13617,NA,5.2644725696554836e-5,5.662705506369589e-5,NA
425127,2128,1663,NA,8.676940305341855e-6,6.9156783851748746e-6,NA
422265,183877,137873,213424,7.497602220513836e-4,5.733525712562932e-4,8.759480445394857e-4
421543,5793,5801,NA,2.362101277671305e-5,2.412378250895938e-5,NA
417901,24317,26036,NA,9.915279953242383e-5,1.0827216021431933e-4,NA
417820,3960,2589,NA,1.614693778625646e-5,1.0766501105963771e-5,NA
417688,2712,4611,NA,1.1058205877860485e-5,1.917510104271879e-5,NA
412153,1961,1659,NA,7.995996211830535e-6,6.89904416175894e-6,NA
407336,27010,20055,8592,1.1013353272898661e-4,8.339983765164288e-5,3.526382037017046e-5
406926,4635,9411,NA,1.889925672709563e-5,3.91361691418405e-5,NA
406851,256922,217720,223235,0.0010476019065456016,9.054007805293288e-4,9.162149604672955e-4
406846,125219,113945,93731,5.105816673376888e-4,4.7384664678217143e-4,3.846965953347821e-4
405282,11375,10418,NA,4.638167104006748e-5,4.332383488680207e-5,NA
404192,7676,3241,NA,3.129896324426884e-5,1.3477879522761136e-5,NA
404164,25886,9369,9313,1.0555041200379666e-4,3.8961509795973185e-5,3.82229933784215e-5
404049,19798,15712,NA,8.072653391219833e-5,6.533922957779172e-5,NA
400553,1668,929,NA,6.801285916029237e-6,3.863298388350847e-6,NA
400202,7908,14675,NA,3.2244945458009116e-5,6.102680715721064e-5,NA
396760,1483,986,NA,6.046946650762204e-6,4.100336072027917e-6,NA
396036,140071,176430,149304,5.711408390552345e-4,7.336940093183422e-4,6.127827556503644e-4
391901,151646,73843,119390,6.183380120036988e-4,3.070802399257175e-4,4.900078577740516e-4
391335,3041,2207,NA,1.2399706517173205e-5,9.177932769742002e-6,NA
390198,3292,10299,NA,1.342316141221118e-5,4.282896674017801e-5,NA
390194,3950474,3999347,4028563,0.01610809543035952,0.016631507878962105,0.016534278629180055
390145,20922,14207,NA,8.53096546373883e-5,5.908060301754627e-5,NA
390130,2801,26169,14272,1.1421104227097057e-5,1.0882524814289916e-4,5.857602936721052e-5
389549,3785,3161,NA,1.5433373616409267e-5,1.3145195054442442e-5,NA
385008,37097,40524,31290,1.5126337147897877e-4,1.6852131742683502e-4,1.2842236259108866e-4
384914,7234,5675,NA,2.949670402671193e-5,2.3599804471357435e-5,NA
383524,45124,32591,30878,1.8399354057248396e-4,1.355314938371824e-4,1.2673140658637377e-4
382948,6732,6825,NA,2.7449794236635984e-5,2.838214370343868e-5,NA
382947,1638,764,NA,6.678960629769718e-6,3.1771366724435383e-6,NA
382905,31350,39135,7343,1.2782992414119698e-4,1.6274508334565167e-4,3.0137596948110066e-5
382622,4494,2067,NA,1.832432788167589e-5,8.595734950184285e-6,NA
382616,109708,107776,81038,4.473354168319757e-4,4.4819251571894604e-4,3.326011958982628e-4
382613,52755,64444,33474,2.1510901588736353e-4,2.679939734541249e-4,1.3738607112093645e-4
