BinBase name,L1_SF_748,L2_SF_748,L3_SF_748,normL1_SF_748,normL2_SF_748,normL3_SF_748
509844,107261,66789,54045,4.436270503600931e-4,2.755727831398325e-4,2.1173778115800786e-4
488159,363,442,402,1.501352954761878e-6,1.8237010607705758e-6,1.574957683884155e-6
486463,6700,5715,6369,2.7710922305522266e-5,2.3580207154533576e-5,2.495250121556762e-5
476084,3117,3180,3653,1.2891782809897447e-5,1.3120745188349391e-5,1.4311742336390094e-5
474821,21170,26518,35593,8.755824256834424e-5,1.0941381160523558e-4,1.3944643990668838e-4
474672,78776,75175,91950,3.258142709760928e-4,3.101735910484797e-4,3.60242186649622e-4
474251,11529,11383,15518,4.768346615826361e-5,4.6966491345591544e-5,6.079650084207542e-5
474221,50510,45727,60743,2.089072665152134e-4,1.8867053937976497e-4,2.3797924027904284e-4
474043,38004,34459,49492,1.571829688506072e-4,1.4217854039161372e-4,1.9390001415620547e-4
425777,9380,10097,15498,3.879529122773117e-5,4.1660428983259056e-5,6.071814473839959e-5
425770,16092,17635,14123,6.65558450358902e-5,7.276237150834639e-5,5.533116261068637e-5
425127,1440,2271,2154,5.955780316410756e-6,9.370192554321216e-6,8.438952365886741e-6
422265,216356,212499,199899,8.948394487065037e-4,8.767752301192004e-4,7.831653384347231e-4
421543,14562,10318,14301,6.022782844970377e-5,4.2572279513644345e-5,5.602853193340124e-5
417901,23860,22959,29942,9.868397107608377e-5,9.472930464758291e-5,1.17306922813083e-4
417820,3274,3756,10618,1.3541128302728344e-5,1.5497332996050413e-5,4.159925544149741e-5
417688,4002,3486,4382,1.6552106129358225e-5,1.4383307461190559e-5,1.7167822315374048e-5
412153,1251,1162,932,5.174084149881844e-6,4.794435820396853e-6,3.651394431293613e-6
407336,216356,23356,21387,8.948394487065037e-4,9.636733478587684e-5,8.379009946574732e-5
406926,776,679,1007,3.2095038371769073e-6,2.8015679191475584e-6,3.94522982007797e-6
406851,287491,281614,289924,0.0011890508603786421,0.0011619451369408256,0.0011358657501055467
406846,136766,122367,154214,5.656585074682176e-4,5.048887504599842e-4,6.041804086132117e-4
